fold,identifier_column,role_a,role_b,n_overlap,example_overlap_values
heldout_emodb,filepath,source_train,source_validation,0,
heldout_emodb,filepath,source_train,target_test,0,
heldout_emodb,filepath,source_validation,target_test,0,
heldout_emodb,filename,source_train,source_validation,0,
heldout_emodb,filename,source_train,target_test,0,
heldout_emodb,filename,source_validation,target_test,0,
heldout_ravdess,filepath,source_train,source_validation,0,
heldout_ravdess,filepath,source_train,target_test,0,
heldout_ravdess,filepath,source_validation,target_test,0,
heldout_ravdess,filename,source_train,source_validation,0,
heldout_ravdess,filename,source_train,target_test,0,
heldout_ravdess,filename,source_validation,target_test,0,
heldout_resd,filepath,source_train,source_validation,0,
heldout_resd,filepath,source_train,target_test,0,
heldout_resd,filepath,source_validation,target_test,0,
heldout_resd,filename,source_train,source_validation,0,
heldout_resd,filename,source_train,target_test,0,
heldout_resd,filename,source_validation,target_test,0,
