fold,heldout_dataset,source_datasets,role,uid,filepath,filename,stem,dataset,language,speech_style,corpus_type,emotion_original,emotion,label,speaker,speaker_original,gender,source_split,dialog_context,dialog_emoA,dialog_emoB,is_augmented,ravdess_modality,ravdess_vocal_channel,ravdess_emotion_code,ravdess_intensity,ravdess_statement,ravdess_repetition,ravdess_actor,resd_utt_id,file_exists,split,corpus,original_split,file_key
heldout_emodb,emodb,ravdess+resd,source_train,utt_000850,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-01-01-04.wav,03-01-01-01-01-01-04.wav,03-01-01-01-01-01-04,ravdess,english,monologue,acted_controlled,neutral,neutral,4,4,4,female,all,monologue,neutral,neutral,False,3.0,1.0,1.0,1.0,1.0,1.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-01-01-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000851,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-01-02-04.wav,03-01-01-01-01-02-04.wav,03-01-01-01-01-02-04,ravdess,english,monologue,acted_controlled,neutral,neutral,4,4,4,female,all,monologue,neutral,neutral,False,3.0,1.0,1.0,1.0,1.0,2.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-01-02-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000852,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-02-01-04.wav,03-01-01-01-02-01-04.wav,03-01-01-01-02-01-04,ravdess,english,monologue,acted_controlled,neutral,neutral,4,4,4,female,all,monologue,neutral,neutral,False,3.0,1.0,1.0,1.0,2.0,1.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-02-01-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000853,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-02-02-04.wav,03-01-01-01-02-02-04.wav,03-01-01-01-02-02-04,ravdess,english,monologue,acted_controlled,neutral,neutral,4,4,4,female,all,monologue,neutral,neutral,False,3.0,1.0,1.0,1.0,2.0,2.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-01-01-02-02-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000854,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-01-01-04.wav,03-01-03-01-01-01-04.wav,03-01-03-01-01-01-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,1.0,1.0,1.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-01-01-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000855,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-01-02-04.wav,03-01-03-01-01-02-04.wav,03-01-03-01-01-02-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,1.0,1.0,2.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-01-02-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000856,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-02-01-04.wav,03-01-03-01-02-01-04.wav,03-01-03-01-02-01-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,1.0,2.0,1.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-02-01-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000857,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-02-02-04.wav,03-01-03-01-02-02-04.wav,03-01-03-01-02-02-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,1.0,2.0,2.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-01-02-02-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000858,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-02-01-01-04.wav,03-01-03-02-01-01-04.wav,03-01-03-02-01-01-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,2.0,1.0,1.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-02-01-01-04.wav
heldout_emodb,emodb,ravdess+resd,source_train,utt_000859,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-02-01-02-04.wav,03-01-03-02-01-02-04.wav,03-01-03-02-01-02-04,ravdess,english,monologue,acted_controlled,happy,happy,3,4,4,female,all,monologue,happy,happy,False,3.0,1.0,3.0,2.0,1.0,2.0,4.0,,True,train,ravdess,train,/content/drive/MyDrive/New Jurnal Cross/dataset/ravdess/Actor_04/03-01-03-02-01-02-04.wav
