fold,heldout_dataset,role,dataset,original_split,n
heldout_emodb,emodb,source_train,ravdess,test,176
heldout_emodb,emodb,source_train,ravdess,train,704
heldout_emodb,emodb,source_train,resd,test,139
heldout_emodb,emodb,source_train,resd,train,873
heldout_emodb,emodb,source_validation,ravdess,val,176
heldout_emodb,emodb,source_validation,resd,val,186
heldout_emodb,emodb,target_test,emodb,test,149
heldout_emodb,emodb,target_test,emodb,train,498
heldout_emodb,emodb,target_test,emodb,val,71
heldout_ravdess,ravdess,source_train,emodb,test,149
heldout_ravdess,ravdess,source_train,emodb,train,498
heldout_ravdess,ravdess,source_train,resd,test,139
heldout_ravdess,ravdess,source_train,resd,train,873
heldout_ravdess,ravdess,source_validation,emodb,val,71
heldout_ravdess,ravdess,source_validation,resd,val,186
heldout_ravdess,ravdess,target_test,ravdess,test,176
heldout_ravdess,ravdess,target_test,ravdess,train,704
heldout_ravdess,ravdess,target_test,ravdess,val,176
heldout_resd,resd,source_train,emodb,test,149
heldout_resd,resd,source_train,emodb,train,498
heldout_resd,resd,source_train,ravdess,test,176
heldout_resd,resd,source_train,ravdess,train,704
heldout_resd,resd,source_validation,emodb,val,71
heldout_resd,resd,source_validation,ravdess,val,176
heldout_resd,resd,target_test,resd,test,139
heldout_resd,resd,target_test,resd,train,873
heldout_resd,resd,target_test,resd,val,186
