model,source_dataset,target_dataset,source,target,seed,split,best_epoch,Accuracy,UAR,Macro-F1,Weighted-F1
emotion2vec MLP,emodb,ravdess,EMODB,RAVDESS,42,source_validation,30,78.87323943661971,79.57459207459206,78.38563883041644,78.29010519637036
emotion2vec MLP,emodb,ravdess,EMODB,RAVDESS,42,target_test,30,94.0340909090909,93.9236111111111,93.52599591513108,94.05702017432122
emotion2vec MLP,emodb,ravdess,EMODB,RAVDESS,123,source_validation,12,80.28169014084507,80.96348096348098,79.67171614656698,79.42313711594356
emotion2vec MLP,emodb,ravdess,EMODB,RAVDESS,123,target_test,12,95.17045454545455,95.48611111111111,94.98275961355667,95.19183532121923
emotion2vec MLP,emodb,ravdess,EMODB,RAVDESS,2024,source_validation,16,77.46478873239437,78.29254079254079,76.94700629483236,76.78415685151752
emotion2vec MLP,emodb,ravdess,EMODB,RAVDESS,2024,target_test,16,94.50757575757575,94.87847222222221,94.21850262982673,94.51935824080272
emotion2vec MLP,ravdess,emodb,RAVDESS,EMODB,42,source_validation,49,94.31818181818183,94.79166666666666,93.7592586382909,94.4204197430004
emotion2vec MLP,ravdess,emodb,RAVDESS,EMODB,42,target_test,49,85.37604456824512,85.0939950533865,85.03751766164201,85.2716131375234
emotion2vec MLP,ravdess,emodb,RAVDESS,EMODB,123,source_validation,42,93.18181818181817,93.75,92.55781499202553,93.3166594171379
emotion2vec MLP,ravdess,emodb,RAVDESS,EMODB,123,target_test,42,85.51532033426183,85.27031348485168,85.1935639830364,85.46673636676535
emotion2vec MLP,ravdess,emodb,RAVDESS,EMODB,2024,source_validation,26,93.18181818181817,93.75,92.58209626630679,93.34314807999019
emotion2vec MLP,ravdess,emodb,RAVDESS,EMODB,2024,target_test,26,85.65459610027855,85.37741396880367,85.31907122324603,85.57063522525617
emotion2vec MLP,emodb,resd,EMODB,RESD,42,source_validation,30,78.87323943661971,79.57459207459206,78.38563883041644,78.29010519637036
emotion2vec MLP,emodb,resd,EMODB,RESD,42,target_test,30,59.01502504173622,58.22382064834793,58.94479416377115,59.25321525294406
emotion2vec MLP,emodb,resd,EMODB,RESD,123,source_validation,12,80.28169014084507,80.96348096348098,79.67171614656698,79.42313711594356
emotion2vec MLP,emodb,resd,EMODB,RESD,123,target_test,12,58.43071786310517,58.025362714862936,58.541164388180164,58.521497783895114
emotion2vec MLP,emodb,resd,EMODB,RESD,2024,source_validation,16,77.46478873239437,78.29254079254079,76.94700629483236,76.78415685151752
emotion2vec MLP,emodb,resd,EMODB,RESD,2024,target_test,16,59.515859766277124,58.48902533531542,59.169179891099276,59.53684002763099
emotion2vec MLP,ravdess,resd,RAVDESS,RESD,42,source_validation,49,94.31818181818183,94.79166666666666,93.7592586382909,94.4204197430004
emotion2vec MLP,ravdess,resd,RAVDESS,RESD,42,target_test,49,61.686143572621035,61.081403528395796,61.25434637928756,61.849193994272724
emotion2vec MLP,ravdess,resd,RAVDESS,RESD,123,source_validation,42,93.18181818181817,93.75,92.55781499202553,93.3166594171379
emotion2vec MLP,ravdess,resd,RAVDESS,RESD,123,target_test,42,61.686143572621035,61.31620870407808,61.40290206337695,61.875622762689964
emotion2vec MLP,ravdess,resd,RAVDESS,RESD,2024,source_validation,26,93.18181818181817,93.75,92.58209626630679,93.34314807999019
emotion2vec MLP,ravdess,resd,RAVDESS,RESD,2024,target_test,26,63.272120200333895,62.57694732541733,62.85246817784474,63.45343656500182
emotion2vec MLP,resd,emodb,RESD,EMODB,42,source_validation,15,65.59139784946237,66.22364194944839,65.12807064586545,64.86251051273314
emotion2vec MLP,resd,emodb,RESD,EMODB,42,target_test,15,83.28690807799443,83.02611092354243,82.75366560671262,82.80567039436674
emotion2vec MLP,resd,emodb,RESD,EMODB,123,source_validation,8,65.59139784946237,66.22364194944839,65.12445597733445,64.87192533756946
emotion2vec MLP,resd,emodb,RESD,EMODB,123,target_test,8,83.98328690807799,83.70860190012655,83.48007552043941,83.50402563183117
emotion2vec MLP,resd,emodb,RESD,EMODB,2024,source_validation,5,65.05376344086021,65.34317832704929,64.50039169677447,64.22187884407616
emotion2vec MLP,resd,emodb,RESD,EMODB,2024,target_test,5,83.84401114206128,83.66124729340856,83.30884065151719,83.37502604627268
emotion2vec MLP,resd,ravdess,RESD,RAVDESS,42,source_validation,15,65.59139784946237,66.22364194944839,65.12807064586545,64.86251051273314
emotion2vec MLP,resd,ravdess,RESD,RAVDESS,42,target_test,15,93.65530303030303,93.83680555555554,93.57795257927351,93.67937449031756
emotion2vec MLP,resd,ravdess,RESD,RAVDESS,123,source_validation,8,65.59139784946237,66.22364194944839,65.12445597733445,64.87192533756946
emotion2vec MLP,resd,ravdess,RESD,RAVDESS,123,target_test,8,93.84469696969697,94.18402777777779,93.76170395070554,93.86632817909478
emotion2vec MLP,resd,ravdess,RESD,RAVDESS,2024,source_validation,5,65.05376344086021,65.34317832704929,64.50039169677447,64.22187884407616
emotion2vec MLP,resd,ravdess,RESD,RAVDESS,2024,target_test,5,94.50757575757575,94.79166666666666,94.39357963711885,94.51396806497576
