feature,fold,accuracy,balanced_accuracy,macro_f1,n_test
Handcrafted,1,0.9889589905362776,0.9901115401115401,0.9892318437210078,634
Handcrafted,2,0.9930675909878682,0.9928194108693705,0.9928194108693705,577
Handcrafted,3,0.9929701230228472,0.9910785248768081,0.9912389455167595,569
Handcrafted,4,0.9983193277310924,0.9984423676012462,0.9969517861789524,595
Handcrafted,5,0.9916247906197655,0.9918152175712134,0.990963992980606,597
emotion2vec,1,0.7965299684542587,0.818993993993994,0.8035861916414361,634
emotion2vec,2,0.7400346620450606,0.7482703749827038,0.7359077114730029,577
emotion2vec,3,0.8224956063268892,0.7953913238248002,0.7677223120917983,569
emotion2vec,4,0.7764705882352941,0.7219119057872098,0.7061748741722148,595
emotion2vec,5,0.7822445561139029,0.7974477946453963,0.778108109323108,597
