emotion,feature,macro_f1_mean,macro_f1_sd_across_folds,balanced_accuracy_mean,balanced_accuracy_sd_across_folds,n_outer_folds
angry,Handcrafted,0.9702056798183427,0.03317991570703034,0.9760961148385083,0.025607271818514927,5
angry,emotion2vec,0.8358691758207119,0.10530094408639169,0.8537561687535892,0.09280257538685999,5
disgust,Handcrafted,0.9691408619065969,0.025262446247321237,0.9775761648745519,0.013472167093872212,5
disgust,emotion2vec,0.8123062925726261,0.026382364330647775,0.8361176395289298,0.03528646167977487,5
fear,Handcrafted,0.9535820549748157,0.04942906539071198,0.9719547140208243,0.023119654148646324,5
fear,emotion2vec,0.7095191810346329,0.09683094156688474,0.7499429502212512,0.08922813416988584,5
happy,Handcrafted,0.9897492111704673,0.015315451467156523,0.992052360916316,0.012648666908339113,5
happy,emotion2vec,0.7374391831081532,0.05176392012382525,0.769237965815806,0.04891475478112125,5
neutral,Handcrafted,0.9862765068024775,0.009616154316157874,0.9896581359816654,0.008325702348838646,5
neutral,emotion2vec,0.7524527621188288,0.10988957290220812,0.7817629647041412,0.10544260146679962,5
sad,Handcrafted,0.9497248758329702,0.03730166637975581,0.9536438318017266,0.030152528639943214,5
sad,emotion2vec,0.7392489896686568,0.08572525945394335,0.7646349472371081,0.07002832307868259,5
