model,test_dataset,seed,split,best_epoch,best_val_macro_f1,accuracy,macro_f1,weighted_f1,uar
emotion2vec MLP,emodb,42,val,19.0,0.7806250623381135,0.7817679558011049,0.7806250623381135,0.7829035701894369,0.7860413462001598
emotion2vec MLP,emodb,42,test,19.0,0.7806250623381135,0.8356545961002786,0.8312425921813139,0.8319983690599071,0.8337998786931996
emotion2vec MLP,emodb,123,val,6.0,0.7868202186067634,0.787292817679558,0.7868202186067634,0.7865470806027136,0.7893449340808621
emotion2vec MLP,emodb,123,test,6.0,0.7868202186067634,0.8454038997214485,0.8411267548755482,0.8425248726308046,0.8438514217025764
emotion2vec MLP,emodb,2024,val,2.0,0.7804635392282452,0.7817679558011049,0.7804635392282452,0.7833000463481452,0.7853258841585161
emotion2vec MLP,emodb,2024,test,2.0,0.7804635392282452,0.8384401114206128,0.8332133537120822,0.8343493151529818,0.8365363620167336
Concat Fusion MLP,emodb,42,val,5.0,0.7660351468674359,0.7679558011049724,0.7660351468674359,0.7681993953158345,0.7747034083354477
Concat Fusion MLP,emodb,42,test,5.0,0.7660351468674359,0.8217270194986073,0.8136290945998675,0.8154529494142531,0.8194643612679445
Concat Fusion MLP,emodb,123,val,2.0,0.7812373512473342,0.7817679558011049,0.7812373512473342,0.7846738130936481,0.785536519565014
Concat Fusion MLP,emodb,123,test,2.0,0.7812373512473342,0.8328690807799443,0.8270560784398144,0.828321736203897,0.8317912590761889
Concat Fusion MLP,emodb,2024,val,4.0,0.7754101526782383,0.7762430939226519,0.7754101526782383,0.7755072209335659,0.7801430516280469
Concat Fusion MLP,emodb,2024,test,4.0,0.7754101526782383,0.841225626740947,0.8374283978757987,0.8378692779318406,0.840695686328694
Handcrafted MLP,emodb,42,val,3.0,0.33135673203583244,0.3342541436464088,0.33135673203583244,0.33139660446293145,0.33382617966679046
Handcrafted MLP,emodb,42,test,3.0,0.33135673203583244,0.2924791086350975,0.2030435971288468,0.2082035430015887,0.28174020510729114
Handcrafted MLP,emodb,123,val,2.0,0.3303383825588129,0.3397790055248619,0.3303383825588129,0.3286398780999372,0.34443391858113465
Handcrafted MLP,emodb,123,test,2.0,0.3303383825588129,0.2757660167130919,0.181817409898554,0.18531407310323547,0.25911425830325735
Handcrafted MLP,emodb,2024,val,7.0,0.33459089657589275,0.3425414364640884,0.33459089657589275,0.33156250887289546,0.34504647166901053
Handcrafted MLP,emodb,2024,test,7.0,0.33459089657589275,0.28690807799442897,0.2090930494061424,0.21582240995358815,0.26989254988305744
emotion2vec MLP,ravdess,42,val,14.0,0.6764895649203423,0.6731517509727627,0.6764895649203423,0.6702933452662261,0.68211619359223
emotion2vec MLP,ravdess,42,test,14.0,0.6764895649203423,0.9441287878787878,0.9412789066550712,0.9445986340999044,0.9479166666666666
emotion2vec MLP,ravdess,123,val,4.0,0.6689783979015856,0.6653696498054474,0.6689783979015856,0.6656193300324328,0.6673892794500541
emotion2vec MLP,ravdess,123,test,4.0,0.6689783979015856,0.9517045454545454,0.9497048375912055,0.9519168106151007,0.953125
emotion2vec MLP,ravdess,2024,val,7.0,0.6866630043203347,0.6809338521400778,0.6866630043203347,0.6814135801442015,0.6857220099950608
emotion2vec MLP,ravdess,2024,test,7.0,0.6866630043203347,0.9460227272727273,0.9445960736078293,0.9462767735372467,0.9487847222222223
Concat Fusion MLP,ravdess,42,val,3.0,0.6699231811518779,0.669260700389105,0.6699231811518779,0.6667816375182666,0.6704312655539799
Concat Fusion MLP,ravdess,42,test,3.0,0.6699231811518779,0.9128787878787878,0.904784261889554,0.9128039177579428,0.8967013888888888
Concat Fusion MLP,ravdess,123,val,5.0,0.6661723482271209,0.6653696498054474,0.6661723482271209,0.6637624317216159,0.666678007546531
Concat Fusion MLP,ravdess,123,test,5.0,0.6661723482271209,0.9318181818181818,0.927569788524539,0.9316235217172921,0.9262152777777778
Concat Fusion MLP,ravdess,2024,val,4.0,0.6695832859149126,0.6653696498054474,0.6695832859149126,0.6631573627880767,0.671302452097242
Concat Fusion MLP,ravdess,2024,test,4.0,0.6695832859149126,0.946969696969697,0.9423132098716936,0.9467401361076117,0.9409722222222223
Handcrafted MLP,ravdess,42,val,5.0,0.331835858294887,0.33073929961089493,0.331835858294887,0.32762809952077876,0.3306020753614644
Handcrafted MLP,ravdess,42,test,5.0,0.331835858294887,0.27178030303030304,0.15668247922233944,0.17092634096982484,0.24913194444444445
Handcrafted MLP,ravdess,123,val,6.0,0.3274895649645184,0.33073929961089493,0.3274895649645184,0.32402302152173906,0.3317170471957341
Handcrafted MLP,ravdess,123,test,6.0,0.3274895649645184,0.2765151515151515,0.19636244364212865,0.21421357488232218,0.2534722222222222
Handcrafted MLP,ravdess,2024,val,7.0,0.3395176216967135,0.3424124513618677,0.3395176216967135,0.3311066514187914,0.3447755481312804
Handcrafted MLP,ravdess,2024,test,7.0,0.3395176216967135,0.23011363636363635,0.1350625041957683,0.14734091366811083,0.21093750000000003
emotion2vec MLP,resd,42,val,25.0,0.8915611710650581,0.8947368421052632,0.8915611710650581,0.8945446872976908,0.9022727272727273
emotion2vec MLP,resd,42,test,25.0,0.8915611710650581,0.5926544240400667,0.5911493303985155,0.5950336353350794,0.5812641732629588
emotion2vec MLP,resd,123,val,32.0,0.8876304871112234,0.8906882591093117,0.8876304871112234,0.890329036510697,0.8985690235690235
emotion2vec MLP,resd,123,test,32.0,0.8876304871112234,0.5968280467445742,0.5970880354917073,0.599379131287137,0.5889867175746117
emotion2vec MLP,resd,2024,val,33.0,0.8953482910377325,0.8987854251012146,0.8953482910377325,0.8986047976664086,0.905976430976431
emotion2vec MLP,resd,2024,test,33.0,0.8953482910377325,0.5918196994991652,0.5911875148541764,0.5945926281866184,0.5826131246289177
Concat Fusion MLP,resd,42,val,7.0,0.8746453311261903,0.8785425101214575,0.8746453311261903,0.8794103193912253,0.8867727664239293
Concat Fusion MLP,resd,42,test,7.0,0.8746453311261903,0.5767946577629383,0.5759651535435474,0.5819708777034046,0.5677694317403122
Concat Fusion MLP,resd,123,val,4.0,0.8789541222840723,0.8825910931174089,0.8789541222840723,0.8831156456030167,0.8905606452118081
Concat Fusion MLP,resd,123,test,4.0,0.8789541222840723,0.5893155258764607,0.5879362150850463,0.5912235041320067,0.5848765520094489
Concat Fusion MLP,resd,2024,val,21.0,0.887490934526555,0.8906882591093117,0.887490934526555,0.8890834744842823,0.89830866807611
Concat Fusion MLP,resd,2024,test,21.0,0.887490934526555,0.5717863105175293,0.5699720981050359,0.5744582789989908,0.5702496703479188
Handcrafted MLP,resd,42,val,11.0,0.523895386276057,0.5303643724696356,0.523895386276057,0.5177280732031002,0.5397464507929625
Handcrafted MLP,resd,42,test,11.0,0.523895386276057,0.2378964941569282,0.2356546572136584,0.23697412277805502,0.24243263756516878
Handcrafted MLP,resd,123,val,26.0,0.5177466170113229,0.5182186234817814,0.5177466170113229,0.5150251246643245,0.5283945597899087
Handcrafted MLP,resd,123,test,26.0,0.5177466170113229,0.2370617696160267,0.22221593986379096,0.22079694193959287,0.24912913532667558
Handcrafted MLP,resd,2024,val,16.0,0.535123321438622,0.5303643724696356,0.535123321438622,0.5291562375277755,0.5350380670148113
Handcrafted MLP,resd,2024,test,16.0,0.535123321438622,0.2378964941569282,0.22513607880225164,0.224837199394785,0.2466293679431425
Handcrafted SVM-RBF,emodb,42,val,,0.30439276543672994,0.32044198895027626,0.30439276543672994,0.3035188397085923,0.3157184568545318
Handcrafted SVM-RBF,emodb,42,test,,0.30439276543672994,0.27298050139275765,0.19735729442384367,0.20598710739692863,0.258378628510119
Handcrafted SVM-RBF,emodb,123,val,,0.30439276543672994,0.32044198895027626,0.30439276543672994,0.3035188397085923,0.3157184568545318
Handcrafted SVM-RBF,emodb,123,test,,0.30439276543672994,0.27298050139275765,0.19735729442384367,0.20598710739692863,0.258378628510119
Handcrafted SVM-RBF,emodb,2024,val,,0.30439276543672994,0.32044198895027626,0.30439276543672994,0.3035188397085923,0.3157184568545318
Handcrafted SVM-RBF,emodb,2024,test,,0.30439276543672994,0.27298050139275765,0.19735729442384367,0.20598710739692863,0.258378628510119
Handcrafted SVM-RBF,ravdess,42,val,,0.3347967832663156,0.3151750972762646,0.3347967832663156,0.3222150625223397,0.32126368700741886
Handcrafted SVM-RBF,ravdess,42,test,,0.3347967832663156,0.2215909090909091,0.14156449701413396,0.15443399674269156,0.203125
Handcrafted SVM-RBF,ravdess,123,val,,0.3347967832663156,0.3151750972762646,0.3347967832663156,0.3222150625223397,0.32126368700741886
Handcrafted SVM-RBF,ravdess,123,test,,0.3347967832663156,0.2215909090909091,0.14156449701413396,0.15443399674269156,0.203125
Handcrafted SVM-RBF,ravdess,2024,val,,0.3347967832663156,0.3151750972762646,0.3347967832663156,0.3222150625223397,0.32126368700741886
Handcrafted SVM-RBF,ravdess,2024,test,,0.3347967832663156,0.2215909090909091,0.14156449701413396,0.15443399674269156,0.203125
Handcrafted SVM-RBF,resd,42,val,,0.45385737705900064,0.46153846153846156,0.45385737705900064,0.44546468835975545,0.4778065388530504
Handcrafted SVM-RBF,resd,42,test,,0.45385737705900064,0.2345575959933222,0.22588379582893126,0.22319340430541348,0.24599429682046928
Handcrafted SVM-RBF,resd,123,val,,0.45385737705900064,0.46153846153846156,0.45385737705900064,0.44546468835975545,0.4778065388530504
Handcrafted SVM-RBF,resd,123,test,,0.45385737705900064,0.2345575959933222,0.22588379582893126,0.22319340430541348,0.24599429682046928
Handcrafted SVM-RBF,resd,2024,val,,0.45385737705900064,0.46153846153846156,0.45385737705900064,0.44546468835975545,0.4778065388530504
Handcrafted SVM-RBF,resd,2024,test,,0.45385737705900064,0.2345575959933222,0.22588379582893126,0.22319340430541348,0.24599429682046928
