model,test_dataset,seed,split,best_epoch,best_val_macro_f1,trainable_parameters,accuracy,macro_f1,weighted_f1,uar
Sequence-level Cross-Attention,emodb,42,val,6,0.7855123285542911,913032,0.787292817679558,0.7855123285542911,0.7878334612692753,0.7890008307626003
Sequence-level Cross-Attention,emodb,42,test,6,0.7855123285542911,913032,0.8217270194986073,0.816747737046132,0.8176411182896041,0.8186184930842866
Sequence-level Cross-Attention,emodb,123,val,2,0.7946137725733514,913032,0.7955801104972375,0.7946137725733514,0.7956087627570922,0.7959211658343989
Sequence-level Cross-Attention,emodb,123,test,2,0.7946137725733514,913032,0.841225626740947,0.8385731670118446,0.8384536986497448,0.8390911311456758
Sequence-level Cross-Attention,emodb,2024,val,6,0.7809202560402883,913032,0.7817679558011049,0.7809202560402883,0.7824105258894191,0.7849188995708724
Sequence-level Cross-Attention,emodb,2024,test,6,0.7809202560402883,913032,0.8272980501392758,0.8216459721889051,0.8230282696814519,0.8258467355805177
Sequence-level Cross-Attention,ravdess,42,val,2,0.6649216735138744,913032,0.6653696498054474,0.6649216735138744,0.662637692148469,0.6679002450026875
Sequence-level Cross-Attention,ravdess,42,test,2,0.6649216735138744,913032,0.9460227272727273,0.9432389886237275,0.9464232093725689,0.9487847222222222
Sequence-level Cross-Attention,ravdess,123,val,1,0.6777861554583818,913032,0.6731517509727627,0.6777861554583818,0.6725398825269502,0.6789094042705397
Sequence-level Cross-Attention,ravdess,123,test,1,0.6777861554583818,913032,0.9517045454545454,0.9497211200997677,0.9518677333466342,0.9539930555555555
Sequence-level Cross-Attention,ravdess,2024,val,1,0.6695812605418361,913032,0.669260700389105,0.6695812605418361,0.6665247149424425,0.6710620221595964
Sequence-level Cross-Attention,ravdess,2024,test,1,0.6695812605418361,913032,0.9403409090909091,0.9384684383839614,0.9403406240429337,0.9444444444444443
Sequence-level Cross-Attention,resd,42,val,14,0.8814755747432444,913032,0.8866396761133604,0.8814755747432444,0.8866438293292553,0.8945247044084254
Sequence-level Cross-Attention,resd,42,test,14,0.8814755747432444,913032,0.5843071786310517,0.5802270831436916,0.5851018318724693,0.572541842357248
Sequence-level Cross-Attention,resd,123,val,24,0.9018999633709864,913032,0.9068825910931174,0.9018999633709864,0.9076909272514377,0.913211573095294
Sequence-level Cross-Attention,resd,123,test,24,0.9018999633709864,913032,0.5859766277128547,0.5805937287905168,0.5860226729588379,0.5738826394039314
Sequence-level Cross-Attention,resd,2024,val,11,0.8754860012874595,913032,0.8785425101214575,0.8754860012874595,0.8783185452214904,0.8866807610993658
Sequence-level Cross-Attention,resd,2024,test,11,0.8754860012874595,913032,0.5909849749582637,0.5859005311964703,0.5914588693449884,0.5822952311390089
