dataset,model,fold,seed,accuracy,macro_f1,weighted_f1,uar,best_val_macro_f1,selected_epoch
ravdess,Handcrafted SVM-RBF,1,deterministic,0.4863636363636364,0.4943885979939111,0.490848167508509,0.4791666666666666,,
ravdess,Handcrafted MLP,1,42,0.4636363636363636,0.46627814796072925,0.46224540705967376,0.47500000000000003,0.5848771353671535,5.0
ravdess,emotion2vec MLP,1,42,0.8818181818181818,0.8745259121180395,0.884098197835064,0.8916666666666666,0.9247466598074742,3.0
ravdess,Concat Fusion MLP,1,42,0.8818181818181818,0.8762208741868633,0.880778503065511,0.8875000000000001,0.9333245841804182,7.0
ravdess,Handcrafted MLP,1,123,0.42727272727272725,0.426732078162154,0.4246168125405317,0.4291666666666667,0.5709036620303579,11.0
ravdess,emotion2vec MLP,1,123,0.8909090909090909,0.8840160204971875,0.8916538405423864,0.8999999999999999,0.9299639037343955,12.0
ravdess,Concat Fusion MLP,1,123,0.8772727272727273,0.8735866274729097,0.8772460178492348,0.8875000000000001,0.937763027158519,3.0
ravdess,Handcrafted MLP,1,2024,0.4318181818181818,0.4365480971142907,0.43317208680410657,0.43333333333333335,0.5951199950182179,9.0
ravdess,emotion2vec MLP,1,2024,0.8863636363636364,0.8794549544233209,0.8866781320981685,0.8958333333333334,0.9299639037343955,27.0
ravdess,Concat Fusion MLP,1,2024,0.8772727272727273,0.8706377703408753,0.8778169615839851,0.8833333333333333,0.9365456984786947,17.0
ravdess,Handcrafted SVM-RBF,2,deterministic,0.5681818181818182,0.5446543727916727,0.5638653763787945,0.5416666666666666,,
ravdess,Handcrafted MLP,2,42,0.5636363636363636,0.5479928014126721,0.5558522868557821,0.5541666666666668,0.46480627583320294,9.0
ravdess,emotion2vec MLP,2,42,0.9454545454545454,0.9505105640829973,0.9460115244541789,0.9500000000000001,0.9009035989573307,24.0
ravdess,Concat Fusion MLP,2,42,0.9545454545454546,0.956332916803777,0.9545804768679785,0.9583333333333334,0.9246770954333091,8.0
ravdess,Handcrafted MLP,2,123,0.5727272727272728,0.5504702166094572,0.5632169262779159,0.5583333333333333,0.4689036718791008,19.0
ravdess,emotion2vec MLP,2,123,0.9409090909090909,0.9462258589561255,0.9413373006794097,0.9458333333333333,0.9061095184257987,24.0
ravdess,Concat Fusion MLP,2,123,0.9318181818181818,0.9338023551117262,0.9323298419400647,0.9333333333333332,0.9203928510944079,10.0
ravdess,Handcrafted MLP,2,2024,0.5772727272727273,0.5679490967900804,0.5710959843770574,0.5791666666666666,0.46625432112843,9.0
ravdess,emotion2vec MLP,2,2024,0.9409090909090909,0.9462258589561255,0.9413373006794097,0.9458333333333333,0.9061538380113943,18.0
ravdess,Concat Fusion MLP,2,2024,0.9454545454545454,0.9477744792549103,0.9452439995419422,0.9500000000000001,0.9378654122506581,6.0
