dataset,model,fold,macro_f1,accuracy,uar,weighted_f1,n_seed_runs
ravdess,Concat Fusion MLP,1,0.8734817573335495,0.8787878787878789,0.8861111111111111,0.878613827499577,3
ravdess,Concat Fusion MLP,2,0.9459699170568046,0.943939393939394,0.9472222222222223,0.9440514394499951,3
ravdess,Concat Fusion MLP,3,0.9409068799506892,0.9469696969696969,0.9500000000000001,0.9480714927923989,3
ravdess,Concat Fusion MLP,4,0.9944437933010365,0.993939393939394,0.9944444444444445,0.9939386836011309,3
ravdess,Concat Fusion MLP,5,0.9621952979815883,0.9678030303030303,0.9600694444444445,0.9675561608479497,3
ravdess,Handcrafted MLP,1,0.44318610774572464,0.4409090909090909,0.44583333333333336,0.440011435468104,3
ravdess,Handcrafted MLP,2,0.5554707049374032,0.5712121212121212,0.563888888888889,0.5633883991702519,3
ravdess,Handcrafted MLP,3,0.5060915337741722,0.5136363636363637,0.5041666666666668,0.5185283091274937,3
ravdess,Handcrafted MLP,4,0.5373336081490713,0.543939393939394,0.5347222222222222,0.5379161218107206,3
ravdess,Handcrafted MLP,5,0.5109619045525139,0.5056818181818182,0.5208333333333334,0.517878122688293,3
ravdess,Handcrafted SVM-RBF,1,0.4943885979939111,0.4863636363636364,0.4791666666666666,0.490848167508509,1
ravdess,Handcrafted SVM-RBF,2,0.5446543727916727,0.5681818181818182,0.5416666666666666,0.5638653763787945,1
ravdess,Handcrafted SVM-RBF,3,0.5428614643405141,0.5681818181818182,0.5375000000000001,0.5652764796172611,1
ravdess,Handcrafted SVM-RBF,4,0.5219154663287359,0.5409090909090909,0.5208333333333334,0.5329986905404391,1
ravdess,Handcrafted SVM-RBF,5,0.47893772409680824,0.4772727272727273,0.484375,0.4897502444692454,1
ravdess,emotion2vec MLP,1,0.8793322956795159,0.8863636363636364,0.8958333333333334,0.887476723491873,3
ravdess,emotion2vec MLP,2,0.9476540939984162,0.9424242424242424,0.9472222222222223,0.9428953752709995,3
ravdess,emotion2vec MLP,3,0.9416315799189551,0.9469696969696969,0.9513888888888888,0.9475975016185118,3
ravdess,emotion2vec MLP,4,0.9758796272311937,0.9772727272727272,0.9791666666666666,0.9772792275754036,3
ravdess,emotion2vec MLP,5,0.9639334903447807,0.9696969696969697,0.9618055555555555,0.969452370698705,3
resd,Concat Fusion MLP,1,0.5668773482919006,0.6198347107438017,0.5833490557716564,0.6028545925941834,3
resd,Concat Fusion MLP,2,0.6331125691379372,0.6542185338865837,0.6465270056830447,0.6656230094830718,3
resd,Concat Fusion MLP,3,0.4837664343962879,0.4908579465541491,0.5336522589722804,0.49864443479465254,3
resd,Concat Fusion MLP,4,0.6064904249173869,0.6430555555555556,0.6111208742338156,0.6464733398390949,3
resd,Concat Fusion MLP,5,0.6675813957256711,0.7086834733893558,0.7220809026364581,0.7231854118901276,3
resd,Handcrafted MLP,1,0.17520704680276292,0.1790633608815427,0.18398348813209495,0.17254161939765497,3
resd,Handcrafted MLP,2,0.14726506176002727,0.1632088520055325,0.1442264946578525,0.16953185341547797,3
resd,Handcrafted MLP,3,0.1813027319472652,0.19831223628691985,0.22234739293260175,0.18834542384915817,3
resd,Handcrafted MLP,4,0.20422970504155255,0.27638888888888885,0.22509895407782998,0.24669131898792665,3
resd,Handcrafted MLP,5,0.13053931340412442,0.1400560224089636,0.21298515013792793,0.11871394599218227,3
resd,Handcrafted SVM-RBF,1,0.18871130823861207,0.21074380165289255,0.2004037336932074,0.2011039970762351,1
resd,Handcrafted SVM-RBF,2,0.1449913217858406,0.16597510373443983,0.14843210802700676,0.16444340205817284,1
resd,Handcrafted SVM-RBF,3,0.19204700398153673,0.19831223628691982,0.22398836688849197,0.1979821688274249,1
resd,Handcrafted SVM-RBF,4,0.219431376664329,0.25416666666666665,0.23122118355474566,0.24935893366914258,1
resd,Handcrafted SVM-RBF,5,0.11567015020525458,0.12184873949579832,0.1974490401573735,0.10234316167854669,1
resd,emotion2vec MLP,1,0.587053178956869,0.6418732782369146,0.601193383786263,0.6273058882815251,3
resd,emotion2vec MLP,2,0.6659244122894806,0.6901798063623789,0.6819501670289366,0.7017434244428733,3
resd,emotion2vec MLP,3,0.5315911394340179,0.5330520393811533,0.5758811159333819,0.5409068850295345,3
resd,emotion2vec MLP,4,0.5732427551941085,0.6097222222222222,0.5745613611471919,0.6109640830931334,3
resd,emotion2vec MLP,5,0.7408034090895833,0.7843137254901961,0.7765331761859539,0.7948481346211741,3
